항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월_0,당기 1분기 3개월_1,당기 1분기 3개월_0,당기 1분기 3개월_1
영업수익,CJ,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,"69,748,436,000",,,
계속영업분기순이익(손실),CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations,,,"-43,915,733,165",
관계기업투자손실,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,entity00303873,,,,"3,099,023,443"
관계기업투자이익,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,,,,"172,593,044"
법인세효과,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss,,,,"6,021,517,081"
세후중단영업분기순손실,CJ CGV,유가증권시장상장법인,591,"영화, 비디오물, 방송프로그램 제작 및 배급업",12,2020-03-31,1분기보고서,KRW,entity00303873,,,,
계속영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations,,,,"26,875,251,693"
계속영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromContinuingOperations,,,,"3,282,705,168"
기타의대손상각비환입,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,entity00265324,,,"-565,872,380","-564,009,923"
대손상각비,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,dart_BadDebtExpenses,,,"54,345,494","223,352,231"
중단영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromDiscontinuedOperations,,,,
중단영업이익,CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossFromDiscontinuedOperations,,,,
