,한글 Label,Element ID
179,투자자산평가이익,dart_GainsOnValuationOfInvestmentAssets
180,투자자산처분이익,dart_GainsOnDisposalsOfInvestments
181,매출채권처분이익,dart_GainsOnDispositionOfReceivables
182,재고자산처분이익,dart_GainsOnDisposalsOfInventory
183,기타비유동자산처분이익,dart_GainsOnDisposalsOfOtherNonCurrentAssets
184,기타비유동자산손상차손환입,dart_ReversalsOfImpairmentLossesOnOtherNonCurrentAssets
185,매각예정자산처분이익,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale
186,공사부담금수익(영업외),dart_RevenueContributionToConstructionNonOperating
187,정부보조금으로 인한 이익/보조금수익,dart_GainsFromGovernmentGrants
188,지분법이익,dart_ProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
189,지분법투자주식처분이익,dart_GainsOnSaleOfInvestmentAccountedForUsingEquityMethod
190,관계기업/공동기업투자손상차손환입,dart_ReversalsOfImpairmentLossesOnAssociates
191,관계기업/공동기업투자처분이익,dart_GainsOnSaleOfInvestmentsInAssociates
192,종속기업투자주식처분이익,dart_GainsOnSaleOfInvestmentsInSubsidiaries
193,구조조정 충당부채의 환입,ifrs-full_ReversalOfProvisionsForCostOfRestructuring
194,판매보증충당부채환입,dart_ReversalsOfProvisionsForProductWarranties
195,하자보수충당부채환입,dart_ReversalsOfProvisionsForConstructionWarranty
196,반품충당부채환입액,dart_ReversalsOfProvisionsForReturnedGoods
197,공사손실충당부채환입,dart_ReversalsOfProvisionsForConstructionLosses
198,제품보증충당부채환입,dart_ReversalsOfWarrantyProvision
199,법적소송충당부채환입,dart_ReversalsOfLegalProceedingsProvision
200,손실부담계약충당부채환입,dart_ReversalsOfOnerousContractsProvision
201,기타충당부채의 환입,ifrs-full_OtherReversalsOfProvisions
202,재고자산평가손실환입,dart_ReversalsOfInventories
203,기타대손충당금환입,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts
204,법인세환급액,dart_IncomeTaxRefunds
205,보상 및 배상금수익,dart_GainsOnReimbursementOrCompensation
206,부산물수입,dart_ByproductsProceeds
207,염가매수차익,dart_AmortizationOnNegativeGoodwill
208,사채상환이익,dart_GainsFromRedemptionOfBonds
209,기술료수입,dart_RoyaltyIncome
210,수입수수료,dart_GainsFromCommission
211,수입임대료,dart_LentIncome
212,수입장려금,dart_BountyIncome
213,연구비지원금(수익),dart_GainsFromResearchSupportFund
214,연체료수입,dart_DelinquentChargeIncome
215,운송수입,dart_FreightIncome
216,운용리스수익,dart_OperatingLeaseRevenuesNonOperating
217,자산수증이익,dart_GainsFromAssetsContributed
218,채무면제이익,dart_GainOnExemptionOfDebts
219,퇴직연금운용수익,dart_RetirementPensionOperatingIncome
220,선물거래이익,dart_GainsOnFuturesTransaction
221,통화선도거래이익,dart_GainsOnTransactionOfForeignExchangeForward
222,통화선도평가이익,dart_GainsOnValuationOfForeignExchangeForward
223,파생금융상품거래이익,dart_GainsOnTransactionOfDerivativeFinancialInstrument
224,파생금융상품평가이익,dart_GainsOnValuationOfDerivativeFinancialInstrument
225,배당금수익,dart_DividendIncomeNonOperating
226,소멸된 금융부채의 장부금액과 지급된 금액 사이의 차이에서 발생한 이익,dart_GainArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid
227,위약금수입,dart_GainsFromBreachOfContract
228,소송사건의 이익,dart_GainsOnLitigationSettlements
229,외화환산이익,dart_GainOnForeignExchangeTranslations
230,외환차익,dart_GainsForeignCurrencyTransactions
231,K-IFRS 1109에 따라 결정된 손상차익 또는 손상차손환입,dart_ImpairmentGainAndReversalOfImpairmentLossDeterminedInAccordanceWithIFRS9
232,상각후원가에서 당기손익-공정가치 측정 범주로 재분류된 금융자산의 상각후원가와 공정가치의 차이로 생기는 이익,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory
233,기타포괄손익-공정가치에서 당기손익-공정가치 측정 금융자산으로 재분류시 기타포괄손익누적액 중 당기손익으로 재분류되는 이익,dart_CumulativeGainPreviouslyRecognisedInOtherComprehensiveIncomeArisingFromReclassificationOfFinancialAssetsOutOfFairValueThroughOtherComprehensiveIncomeIntoFairValueThroughProfitOrLossMeasurementCategory
234,순포지션 위험회피이익,dart_HedgingGainsForHedgeOfGroupOfItemsWithOffsettingRiskPositions
235,잡이익,dart_MiscellaneousIncome
236,기타손실,dart_OtherLosses
237,금융상품평가손실,dart_LossesOnValuationOfLongTermFinancialInstruments
238,유형자산처분손실,dart_LossesOnDisposalsOfPropertyPlantAndEquipment
239,유형자산손상차손,dart_WritedownsOfPropertyPlantAndEquipment
240,무형자산처분손실,dart_LossesOnDisposalOfIntangibleAssets
241,무형자산손상차손,dart_ImpairmentLossesOnIntangibleAssets
242,단기매매금융자산처분손실,dart_LossesOnDisposalOfHeldForTradingFinancialAssets
243,단기매매금융자산평가손실,dart_LossesOnValuationOfHeldForTradingFinancialAssets
244,당기손익인식금융부채처분손실,dart_LossesOnDisposalOfFairValueFinancialLiabilities
245,당기손익인식금융부채평가손실,dart_LossesOnValuationOfFairValueFinancialLiabilities
246,당기손익인식금융자산처분손실,dart_LossesOnDisposalOfFairValueFinancialAsset
247,당기손익인식금융자산평가손실,dart_LossesOnValuationOfFairValueFinancialAsset
248,매도가능금융자산손상차손,dart_ImpairmentLossesOnAvailableForSaleFinancialAssets
249,매도가능금융자산처분손실,dart_LossesOnDisposalOfAvailableForSaleFinancialAssets
250,투자부동산손상차손,dart_ImpairmentLossesOnInvestmentProperty
251,투자부동산처분손실,dart_LossesOnDisposalOfInvestmentProperty
252,투자부동산평가손실,dart_LossesOnValuationOfInvestmentProperty
253,투자자산평가손실,dart_LossesOnValuationOfInvestmentAssets
254,투자자산처분손실,dart_LossesOnDisposalsOfInvestments
255,매출채권처분손실,dart_LossesOnDispositionOfReceivables
256,기타비유동자산처분손실,dart_LossesOnDisposalsOfOtherNonCurrentAssets
257,매각예정자산처분손실,dart_LossesOnDisposalOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale
258,정부보조금으로 인한 손실,dart_LossesFromGovernmentGrants
259,지분법손실,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod
260,지분법투자주식처분손실,dart_LossesOnSaleOfInvestmentAccountedForUsingEquityMethod
261,관계기업/공동기업투자손상차손,dart_ImpairmentLossesOnAssociates
262,관계기업/공동기업투자처분손실,dart_LossesOnSaleOfInvestmentsInAssociates
263,종속기업투자주식처분손실,dart_LossesOnSaleOfInvestmentsInSubsidiaries
264,구조조정충당부채전입액,ifrs-full_ExpenseOfRestructuringActivities
265,판매보증충당부채전입액,dart_ExpensOfProvisionsForProductWarranties
266,하자보수충당부채전입액,dart_ExpenseOfProvisionForConstructionWarranty
267,반품충당부채전입액,dart_ExpensesOfProvisionsForReturnedGoods
268,공사손실충당부채전입액,dart_ExpenseOfProvisionForConstructionLosses
269,제품보증충당부채전입액,dart_ExpenseOfWarrantyProvision
270,법적소송충당부채전입액,dart_ExpenseOfLegalProceedingsProvision
271,손실부담계약충당부채전입액,dart_ExpenseOfOnerousContractsProvision
272,손해배상충당부채전입액,dart_TransferToRserveForLossFromCompensationOfDamage
273,손해배상금,dart_CompensationForDamage
274,기타충당부채의 전입액,dart_OtherExpenseOfProvisions
275,재고자산평가손실,dart_WritedownsOfInventories
276,기타의대손상각비,dart_AllowanceForOtherDoubtfulAccounts
277,사채상환손실,dart_LossesFromRedemptionOfBonds
278,채무면제손실,dart_LossesOnExemptionOfDebts
279,선물거래손실,dart_LossesOnFuturesTransaction
280,통화선도거래손실,dart_LossesOnTransactionOfForeignExchangeForward
281,통화선도평가손실,dart_LossesOnValuationOfForeignExchangeForward
