항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
   금융비용,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_201711714844261_FinanceIncome,"99,643,000,000"
기타손익,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141712951_IncomeStatementAbstract,"50,694,000,000"
   기타수익,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141722751_udf_IS_2017117141712951_IncomeStatementAbstract,"153,543,000,000"
   기타비용,[000270],기아자동차,유가증권시장상장법인,301,자동차용 엔진 및 자동차 제조업,12,2020-03-31,1분기보고서,KRW,entity00106641_udf_IS_2017117141736270_udf_IS_2017117141712951_IncomeStatementAbstract,"102,849,000,000"
지분법이익(손실),[004270],남성,유가증권시장상장법인,467,기타 전문 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"-521,464,642"
영업수익,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,"14,263,242,111"
영업비용,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"3,306,601,662"
주당순이익,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,ifrs-full_EarningsPerShareAbstract,nan
   보통주 기본및희석주당이익,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00113508_udf_IS_20195720424492_udf_IS_2019572034021_IncomeStatementAbstract,"1,044"
   구형우선주 기본희석주당이익,[000320],노루홀딩스,유가증권시장상장법인,649,기타 금융업,12,2020-03-31,1분기보고서,KRW,entity00113508_udf_IS_20195720430880_udf_IS_2019572034021_IncomeStatementAbstract,"1,046"
총매출액,[004370],농심,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00108241_udf_IS_2017118173210627_IncomeStatementAbstract,"610,090,679,470"
매출에누리등,[004370],농심,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00108241_udf_IS_201711817328613_IncomeStatementAbstract,"-56,154,493,683"
지분법손실,[004370],농심,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"-479,102,710"
영업비용,[064260],다날,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"36,172,876,987"
대손상각비,[064260],다날,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,entity00389970_udf_IS_201958172548920_IncomeStatementAbstract,"4,407,101,317"
지분법이익,[064260],다날,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,nan
지분법손실,[064260],다날,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,"1,755,910,188"
지분법적용투자주식처분이익,[064260],다날,코스닥시장상장법인,582,소프트웨어 개발 및 공급업,12,2020-03-31,1분기보고서,KRW,entity00389970_udf_IS_202032320129248_IncomeStatementAbstract,nan
대손상각비,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_20185119223079_IncomeStatementAbstract,"47,274,396"
기타의 대손상각비,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_2018511115348748_IncomeStatementAbstract,"50,145,298"
종속기업 및 관계기업에 대한 지분법손익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_201887151838790_IncomeStatementAbstract,"-2,746,806,284"
이자수익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"734,775,599"
      보통주기본주당손익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_2017115143744573_BasicEarningsLossPerShare,-110
      우선주기본주당손익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_201711514382208_BasicEarningsLossPerShare,44
      보통주희석주당손익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_2017115143813817_DilutedEarningsLossPerShare,-110
