,항목코드,항목명
16,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsNetOfTax,      매도가능금융자산평가이익
18,ifrs-full_ComprehensiveIncome,당기포괄이익(손실)
71,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossBeforeTax,   당기손익으로 재분류되지 않는 항목(세전기타포괄손익)
72,dart_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,      확정급여제도의 재측정손익(세전기타포괄손익)
74,dart_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossBeforeTax,   당기손익으로 재분류될 수 있는 항목(세전기타포괄손익)
75,ifrs-full_GainsLossesOnRemeasuringAvailableforsaleFinancialAssetsBeforeTax,      매도가능금융자산평가손익(세전기타포괄손익)
119,dart_Bonus,   상여
139,ifrs-full_SharebasedPaymentTransactions,   주식보상비용(환입)
142,dart_GainsOnSaleOfInvestmentsInAssociates,   관계기업/공동기업투자처분이익
149,dart_LossesOnTransactionOfDerivativeFinancialInstrument,   파생금융상품거래손실
150,dart_LossesOnValuationOfDerivativeFinancialInstrument,   파생금융상품평가손실
164,dart_LossesFromFinancialGuaranteeFinanceExpense,   금융보증비용(손실)
169,dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,   당기손익으로 재분류되지 않는항목(세후기타포괄손익)
170,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,      확정급여제도의 재측정손익(세후기타포괄손익)
231,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation,      기타포괄손익-공정가치측정지분상품평가손익(세후기타포괄손익)
234,ifrs-full_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsNetOfTax,      매도가능금융자산평가손익의 세후재분류조정
279,ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesFromInvestmentsInEquityInstruments,      기타포괄손익-공정가치 측정 지분상품 평가손익
309,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,      관계기업 기타포괄손익에 대한 지분해당액
332,ifrs-full_GainsLossesOnCashFlowHedgesNetOfTax,      현금흐름위험회피손익(세후기타포괄손익)
379,ifrs-full_RevenueFromInterest,   이자수익(매출액)
436,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,      파생상품평가손익
559,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLoss,      당기손익으로 재분류되지 않는 항목과 관련된 법인세
561,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeBeforeTax,      기타포괄손익인식금융자산평가손익
562,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossBeforeTax,      지분법자본변동
563,dart_IncomeTaxRelatingToComponentsOfOtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLoss,      당기손익으로 재분류될수 있는 항목과 관련된 법인세
649,dart_RevenueFromRenderingOfServicesDistribution,   물류매출액
654,dart_CostOfSalesFromRenderingOfServicesDistribution,   물류매출원가/유통매출원가
767,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,      해외사업환산이익
769,ifrs-full_GainsLossesOnHedgesOfNetInvestmentsInForeignOperationsNetOfTax,      파생상품평가이익
901,ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesFromInvestmentsInEquityInstruments,      매도가능금융자산평가손실
904,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationBeforeTax,      해외사업장환산외환차이(세전기타포괄이익)
920,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossNetOfTax,      기타포괄손익-공정가치측정 금융자산평가손익
1162,dart_CeremonyExpenses,   직장체육비
1167,dart_RecruitExpenses,   사원모집비
1174,dart_ReversalsOfImpairmentLossesOnInvestmentProperty,   투자부동산손상차손환입
1181,dart_LossesOnDisposalOfInvestmentProperty,   투자부동산처분손실
1187,dart_OtherExpenseOfProvisions,   기타충당부채전입
1219,dart_SalesPromotionExpenses,   판매비
1220,dart_ExpenseForManagementOfAffairs,   관리비
1607,dart_GainOnExemptionOfDebts,   채무면제이익
1611,dart_WritedownsOfPropertyPlantAndEquipment,   유형자산손상차손
1622,dart_GainsFromRedemptionOfBondsFinancialIncome,   사채상환이익(금융수익)
1627,dart_LossesFromRedemptionOfBondsFinancialExpense,   사채상환손실
1657,dart_BuildingMaintenanceExpenses,   건물관리비
1666,dart_ElectronicFacilitiesExpenses,   전산유지비
1679,dart_GainsOnValuationOfFairValueFinancialAsset,   당기손익-금융자산평가이익
1680,dart_GainsOnValuationOfForeignExchangeForward,   통화선도평가이익
1681,dart_GainsOnTransactionOfForeignExchangeForward,   통화선도거래이익
1687,dart_LossesOnValuationOfFairValueFinancialAsset,   당기손익-금융자산평가손실
1688,dart_LossesOnValuationOfForeignExchangeForward,   통화선도평가손실
1689,dart_LossesOnTransactionOfForeignExchangeForward,   통화선도거래손실
1716,ifrs-full_ReclassificationAdjustmentsOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,      기타포괄손익-공정가치 측정 금융자산 평가손익의 세후재분류조정
2103,dart_OutsourcingExpenses,   외주용역비
2238,dart_RoyaltyIncome,   기술료수입
2383,dart_RevenueFromRenderingOfServicesBroadcastBusiness,   광고수익
2386,dart_CostOfSalesFromRenderingOfServicesBroadcastBusiness,   방송제작비
2387,dart_CostOfSalesFromRoyalties,   사업비용
2457,dart_ReversalsOfProvisionsForReturnedGoods,   충당부채환입액
2923,ifrs-full_GainsLossesOnChangeInValueOfTimeValueOfOptionsNetOfTax,      파생금융상품평가손익
3162,dart_LossesOnSaleOfInvestmentsInAssociates,   관계기업/공동기업투자처분손실
3164,dart_WritedownsOfInventories,   재고자산평가손실
3380,ifrs-full_WagesAndSalaries,   급여
3381,ifrs-full_PostemploymentBenefitExpenseDefinedContributionPlans,"   퇴직급여비용, 확정기여제도"
3571,dart_ResearchExpense,   조사연구비
3591,dart_GainsOnDisposalsOfShortTermFinancialInstrumentsFinancialIncome,   금융상품처분이익
3597,dart_LossesOnDisposalsOfHeldForTradingFinancialAssetsFinancialExpense,   금융자산처분손실
3761,dart_RevenueContributionToConstruction,   공사부담금수익
3908,dart_LeaseExpenses,   리스료
3912,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssets,   매도가능금융자산처분이익
3918,dart_LossesOnDisposalOfAvailableForSaleFinancialAssets,   매도가능금융자산처분손실
4417,dart_GainsOnDisposalsOfInvestments,   투자자산처분이익
4420,dart_GainsFromRedemptionOfBonds,   사채상환이익
4817,ifrs-full_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRevaluation,      자산재평가손익(세전기타포괄손익)
5060,dart_ElectricPowerExpense,   수도광열비 및 전력비
5084,dart_GainsOnValuationOfInvestmentAssets,   투자자산평가이익
5092,dart_LossesOnValuationOfInvestmentAssets,   투자자산평가손실
5485,dart_GainsOnValuationOfHeldForTradingFinancialAssetsFinancialIncome,   당기손익-공정가치측정 평가이익
6857,dart_AfterServiceExpenses,   납후봉사비
7109,dart_RevenueFromRenderingOfServicesEducation,   교육매출
7115,dart_CostOfSalesFromRenderingOfServicesEducationBusiness,   교육매출원가
8203,dart_DelinquentChargeIncome,   이자수입
8210,dart_LossesOnValuationOfLongTermFinancialInstruments,   이자비용
8212,dart_LossesOnDispositionOfReceivables,   매출채권처분손실
8694,dart_GasAndOilExpenses,   연료비
8711,dart_ProductRepairExpenses,   판매수수료
8713,dart_ExperimentalResearchExpenses,   실험비
9201,dart_RevenueFromSaleOfGoodsFishing,   어획물매출액
9207,dart_CostOfSalesFromSaleOfGoodsFishing,   어획물매출원가
11015,ifrs-full_GainsLossesOnCashFlowHedgesBeforeTax,      파생상품평가손익
11430,dart_ProductWarrantyExpensesRecovery,   판매보증비
12714,dart_RevenueFromSaleOfGoodsRawMaterial,   원재료매출액
12718,dart_CostOfSalesFromSaleOfGoodsRawMaterial,   원재료매출원가
12756,dart_GainsFromGovernmentGrants,   정부보조금수익
13089,dart_InvestmentPropertyDepreciationExpense,   투자부동산감가상각비
13670,dart_LossesOnDisposalsOfInvestments,   투자자산처분손실
13674,dart_ImpairmentLossesOnInvestmentProperty,   투자부동산손상차손
13684,dart_GainsOnDisposalsOfHeldForTradingFinancialAssetsFinancialIncome,   단기매매금융자산처분이익(금융수익)
13691,dart_LossesOnValuationOfHeldForTradingFinancialAssetsFinancialExpense,   단기매매금융자산평가손실(금융원가)
13884,dart_GainsOnSaleOfInvestmentAccountedForUsingEquityMethod,   지분법투자주식처분이익
14131,ifrs-full_ReclassificationAdjustmentsOnChangeInValueOfForeignCurrencyBasisSpreadsNetOfTax,      법인세효과
14348,ifrs-full_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationNetOfTax,      해외사업장환산외환차이 세후재분류조정
14957,ifrs-full_GainsLossesOnChangeInValueOfForwardElementsOfForwardContractsBeforeTax,      파생상품평가손익
15417,dart_MarketResearchExpense,   해외시장개척비
15423,dart_GainsOnSaleOfInvestmentsInSubsidiaries,   종속기업투자주식처분이익
15430,dart_CompensationForDamage,   보상금
15443,dart_GainsOnDisposalsOfAvailableForSaleFinancialAssetsFinancialIncome,   매도가능금융자산처분이익(금융수익)
15452,dart_LossesOnDisposalsOfAvailableForSaleFinancialAssetsFinancialExpense,   매도가능금융자산처분손실(금융원가)
15758,ifrs-full_ReclassificationAdjustmentsOnAvailableforsaleFinancialAssetsBeforeTax,      당기손익-공정가치측정금융자산평가손익
16378,ifrs-full_AmountsRemovedFromEquityAndAdjustedAgainstFairValueOfFinancialAssetsOnReclassificationOutOfFairValueThroughOtherComprehensiveIncomeMeasurementCategoryNetOfTax,      당기손익으로 재분류될 수 있는 항목의 법인세
16635,dart_IncomeTaxRefunds,   법인세환급액
16783,dart_ReversalsOfProvisionsForConstructionWarranty,   하자보수충당부채환입
16789,dart_LossesOnDispositionOfReceivablesFinancialExpense,   매출채권처분손실(금융원가)
17187,dart_RevenueFromRenderingOfServicesMovieShow,   영화상영수익
17191,dart_CostOfSalesFromRenderingOfServicesMovieShow,   영화상영원가
18689,ifrs-full_GainsLossesOnChangeInValueOfForwardElementsOfForwardContractsNetOfTax,      이자율스왑평가
18999,ifrs-full_PostemploymentBenefitExpenseDefinedBenefitPlans,"      퇴직급여비용, 확정급여제도"
22324,dart_FinancialCommissions,   금융지급수수료
25578,dart_ReversalsOfImpairmentLossesOnOtherNonCurrentAssets,   기타유동자산손상차손환입
25584,dart_ReversalsOfImpairmentLossesOnAvailableForSaleFinancialAssets,   기타채권손상차손환입
25591,dart_LossesOnDisposalOfFairValueFinancialLiabilities,   기타채권손상차손
25710,dart_GainsOnReimbursementOrCompensation,   보험차익
26049,dart_RevenueFromRenderingOfServicesGame,      게임매출액
27180,dart_GainsOnTransactionOfDerivativeFinancialInstrument,   파생금융상품거래이익
27181,dart_GainsOnValuationOfDerivativeFinancialInstrument,   파생금융상품평가이익
27331,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillNotBeReclassifiedToProfitOrLossBeforeTax,      지분법이익잉여금의 변동
27453,dart_GainsOnValuationOfHeldForTradingFinancialAssets,   단기매매금융자산평가이익
27454,dart_GainsOnDisposalsOfHeldForTradingFinancialAssets,   단기매매금융자산처분이익
27457,dart_ReversalOfImpairmentLossesOnIntangibleAssets,   무형자산손상차손환입
27466,dart_LossesOnValuationOfHeldForTradingFinancialAssets,   단기매매금융자산평가손실
32520,ifrs-full_ReclassificationAdjustmentsOnCashFlowHedgesNetOfTax,      위험회피파생상품의 기타포괄손익 중 당기손익에 포함된 재분류 조정
34259,dart_GainsOnTransactionOfForeignExchangeForwardFinancialIncome,   통화선도거래이익(금융수익)
34266,dart_LossesOnTransactionOfForeignExchangeForwardFinancialExpense,   통화선도거래손실(금융원가)
34322,dart_PublicRelationExpense,   홍보비
34649,dart_WorkersAccidentCompensationInsuranceExpenses,   산재보험료
34655,dart_ByproductsProceeds,   부산물수입
34669,dart_ImpairmentLossesOnAvailableForSaleFinancialAssets,   매도가능금융자산손상차손
34693,ifrs-full_GainsLossesOnChangeInValueOfForeignCurrencyBasisSpreadsNetOfTax,      외화환산적립금
35116,dart_ReversalsOfProvisionsForConstructionLosses,   공사손실충당부채환입
35590,dart_CostOfSalesFromRenderingOfServicesGames,   사교장원가
36109,ifrs-full_OtherReversalsOfProvisions,   기타충당부채의 환입
36173,dart_RevenueFromSaleOfGoodsTire,      기타매출
36181,dart_RevenueFromSaleOfGoodsFood,      선용품판매
