,항목코드,항목명
1143,dart_GainsFromFinancialGuaranteeFinancialIncome,   금융보증채무환입
1148,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,   당기손익-공정가치금융자산평가손실
1162,dart_DividendIncome,   배당금수익(금융수익)
1163,dart_GainsOnForeignCurrencyTransactionsFiancialIncome,   외환차익(금융수익)
1164,dart_GainsOnForeignExchangeTranslationsFinancialIncome,   외화환산이익(금융수익)
1165,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,   당기손익인식금융자산평가이익(금융수익)
1166,dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome,   파생상품거래이익(금융수익)
1167,dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome,   파생상품평가이익(금융수익)
1170,dart_LossesOnForeignCurrencyTransactionsFiancialExpense,   외환차손(금융원가)
1171,dart_LossesOnForeignExchangeTranslationsFinancialExpense,   외화환산손실(금융원가)
1172,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,   당기손익인식금융자산평가손실(금융원가)
1173,dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품평가손실(금융원가)
1180,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석주당이익(손실)
1207,ifrs-full_ProfitLoss,1분기순이익(손실)
1209,ifrs-full_BasicEarningsLossPerShare,   보통주 기본 및 희석주당이익
1210,ifrs-full_DilutedEarningsLossPerShare,   우선주 기본 및 희석주당이익
1222,dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome,   당기손익-공정가치 금융자산평가이익
1225,dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense,   파생상품거래손실(금융원가)
1227,dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense,   당기손익-공정가치 금융자산평가손실
1248,ifrs-full_EarningsPerShareAbstract,지배기업지분에 대한 주당이익
1314,ifrs-full_FinanceIncome,금융순손익
1327,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,관계기업투자이익(손실)
1376,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세(수익)비용
1398,ifrs-full_ProfitLossFromContinuingOperations,계속영업이익
1401,ifrs-full_BasicEarningsLossPerShare,   보통주 기본주당이익
1402,ifrs-full_DilutedEarningsLossPerShare,   보통주 희석주당이익
1421,ifrs-full_EarningsPerShareAbstract,주당순손익
1422,ifrs-full_BasicEarningsLossPerShare,   기본주당순손익
1451,ifrs-full_EarningsPerShareAbstract,지배기업 소유주지분에 대한 주당이익
1453,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,      보통주기본주당분기순이익(손실)
1454,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,      우선주기본주당분기순이익(손실)
1456,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,      보통주희석주당분기순이익(손실)
1457,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,      우선주희석주당분기순이익(손실)
1523,dart_CostOfSalesFromRenderingOfServicesRental,   임대매출원가
1564,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,지분법손실
1571,ifrs-full_Revenue,수익(순매출액)
1625,ifrs-full_EarningsPerShareAbstract,주당순이익(손실)
1651,dart_TaxesDues,   세금과공과
1657,dart_PublicationExpenses,   도서인쇄비
